
> 11tybundle.dev@2.0.0 perf
> DEBUG=Eleventy:Benchmark* npx @11ty/eleventy

Loaded local bundleDB
Fetched bundleRecords: 2580 records
cached starters length: 35 raw starters length: 35
Using cached starter project metadata
firehoseYears: 9 years
postCount: 1649
siteCount: 659
releaseCount: 195
starterCount: 35
authorCount: 484
categoryCount: 51

========================================
TOTAL BUNDLEDATA EXECUTION TIME: 0.18 seconds
========================================

Showcase site count: 1449
2026-02-10T04:36:47.153Z Eleventy:Benchmark Benchmark      0ms   0%     4× (Aggregate) > Compile Permalink > ./content/blog/2023/11ty-bundle-10.md
2026-02-10T04:36:47.153Z Eleventy:Benchmark Benchmark      0ms   0%     4× (Aggregate) > Render Permalink > ./content/blog/2023/11ty-bundle-10.md
2026-02-10T04:36:47.153Z Eleventy:Benchmark Benchmark      0ms   0%     2× (Aggregate) > Compile Computed Data > ./content/blog/2023/11ty-bundle-10.md
2026-02-10T04:36:47.153Z Eleventy:Benchmark Benchmark      0ms   0%     2× (Aggregate) > Render Computed Data > ./content/blog/2023/11ty-bundle-10.md
2026-02-10T04:36:47.153Z Eleventy:Benchmark Benchmark      0ms   0%     4× (Aggregate) > Compile Permalink > ./content/blog/2023/11ty-bundle-11.md
2026-02-10T04:36:47.153Z Eleventy:Benchmark Benchmark      0ms   0%     4× (Aggregate) > Render Permalink > ./content/blog/2023/11ty-bundle-11.md
2026-02-10T04:36:47.153Z Eleventy:Benchmark Benchmark      0ms   0%     2× (Aggregate) > Compile Computed Data > ./content/blog/2023/11ty-bundle-11.md
2026-02-10T04:36:47.153Z Eleventy:Benchmark Benchmark      0ms   0%     2× (Aggregate) > Render Computed Data > ./content/blog/2023/11ty-bundle-11.md
2026-02-10T04:36:47.153Z Eleventy:Benchmark Benchmark      0ms   0%     4× (Aggregate) > Compile Permalink > ./content/blog/2023/11ty-bundle-12.md
2026-02-10T04:36:47.153Z Eleventy:Benchmark Benchmark      0ms   0%     4× (Aggregate) > Render Permalink > ./content/blog/2023/11ty-bundle-12.md
2026-02-10T04:36:47.153Z Eleventy:Benchmark Benchmark      0ms   0%     2× (Aggregate) > Compile Computed Data > ./content/blog/2023/11ty-bundle-12.md
2026-02-10T04:36:47.153Z Eleventy:Benchmark Benchmark      0ms   0%     2× (Aggregate) > Render Computed Data > ./content/blog/2023/11ty-bundle-12.md
2026-02-10T04:36:47.153Z Eleventy:Benchmark Benchmark      0ms   0%     4× (Aggregate) > Compile Permalink > ./content/blog/2023/11ty-bundle-13.md
2026-02-10T04:36:47.153Z Eleventy:Benchmark Benchmark      0ms   0%     4× (Aggregate) > Render Permalink > ./content/blog/2023/11ty-bundle-13.md
2026-02-10T04:36:47.153Z Eleventy:Benchmark Benchmark      0ms   0%     2× (Aggregate) > Compile Computed Data > ./content/blog/2023/11ty-bundle-13.md
2026-02-10T04:36:47.153Z Eleventy:Benchmark Benchmark      0ms   0%     2× (Aggregate) > Render Computed Data > ./content/blog/2023/11ty-bundle-13.md
2026-02-10T04:36:47.153Z Eleventy:Benchmark Benchmark      0ms   0%     4× (Aggregate) > Compile Permalink > ./content/blog/2023/11ty-bundle-14.md
2026-02-10T04:36:47.153Z Eleventy:Benchmark Benchmark      0ms   0%     4× (Aggregate) > Render Permalink > ./content/blog/2023/11ty-bundle-14.md
2026-02-10T04:36:47.153Z Eleventy:Benchmark Benchmark      0ms   0%     2× (Aggregate) > Compile Computed Data > ./content/blog/2023/11ty-bundle-14.md
2026-02-10T04:36:47.153Z Eleventy:Benchmark Benchmark      0ms   0%     2× (Aggregate) > Render Computed Data > ./content/blog/2023/11ty-bundle-14.md
2026-02-10T04:36:47.153Z Eleventy:Benchmark Benchmark      0ms   0%     4× (Aggregate) > Compile Permalink > ./content/blog/2023/11ty-bundle-15.md
2026-02-10T04:36:47.153Z Eleventy:Benchmark Benchmark      0ms   0%     4× (Aggregate) > Render Permalink > ./content/blog/2023/11ty-bundle-15.md
2026-02-10T04:36:47.153Z Eleventy:Benchmark Benchmark      0ms   0%     2× (Aggregate) > Compile Computed Data > ./content/blog/2023/11ty-bundle-15.md
2026-02-10T04:36:47.153Z Eleventy:Benchmark Benchmark      0ms   0%     2× (Aggregate) > Render Computed Data > ./content/blog/2023/11ty-bundle-15.md
2026-02-10T04:36:47.153Z Eleventy:Benchmark Benchmark      0ms   0%     4× (Aggregate) > Compile Permalink > ./content/blog/2023/11ty-bundle-16.md
2026-02-10T04:36:47.153Z Eleventy:Benchmark Benchmark      0ms   0%     4× (Aggregate) > Render Permalink > ./content/blog/2023/11ty-bundle-16.md
2026-02-10T04:36:47.153Z Eleventy:Benchmark Benchmark      0ms   0%     2× (Aggregate) > Compile Computed Data > ./content/blog/2023/11ty-bundle-16.md
2026-02-10T04:36:47.153Z Eleventy:Benchmark Benchmark      0ms   0%     2× (Aggregate) > Render Computed Data > ./content/blog/2023/11ty-bundle-16.md
2026-02-10T04:36:47.153Z Eleventy:Benchmark Benchmark      0ms   0%     4× (Aggregate) > Compile Permalink > ./content/blog/2023/11ty-bundle-17.md
2026-02-10T04:36:47.153Z Eleventy:Benchmark Benchmark      0ms   0%     4× (Aggregate) > Render Permalink > ./content/blog/2023/11ty-bundle-17.md
2026-02-10T04:36:47.153Z Eleventy:Benchmark Benchmark      0ms   0%     2× (Aggregate) > Compile Computed Data > ./content/blog/2023/11ty-bundle-17.md
2026-02-10T04:36:47.153Z Eleventy:Benchmark Benchmark      1ms   0%     2× (Aggregate) > Render Computed Data > ./content/blog/2023/11ty-bundle-17.md
2026-02-10T04:36:47.153Z Eleventy:Benchmark Benchmark      0ms   0%     4× (Aggregate) > Compile Permalink > ./content/blog/2023/11ty-bundle-18.md
2026-02-10T04:36:47.153Z Eleventy:Benchmark Benchmark      0ms   0%     4× (Aggregate) > Render Permalink > ./content/blog/2023/11ty-bundle-18.md
2026-02-10T04:36:47.153Z Eleventy:Benchmark Benchmark      0ms   0%     2× (Aggregate) > Compile Computed Data > ./content/blog/2023/11ty-bundle-18.md
2026-02-10T04:36:47.153Z Eleventy:Benchmark Benchmark      0ms   0%     2× (Aggregate) > Render Computed Data > ./content/blog/2023/11ty-bundle-18.md
2026-02-10T04:36:47.153Z Eleventy:Benchmark Benchmark      0ms   0%     4× (Aggregate) > Compile Permalink > ./content/blog/2023/11ty-bundle-19.md
2026-02-10T04:36:47.153Z Eleventy:Benchmark Benchmark      0ms   0%     4× (Aggregate) > Render Permalink > ./content/blog/2023/11ty-bundle-19.md
2026-02-10T04:36:47.153Z Eleventy:Benchmark Benchmark      0ms   0%     2× (Aggregate) > Compile Computed Data > ./content/blog/2023/11ty-bundle-19.md
2026-02-10T04:36:47.153Z Eleventy:Benchmark Benchmark      0ms   0%     2× (Aggregate) > Render Computed Data > ./content/blog/2023/11ty-bundle-19.md
2026-02-10T04:36:47.153Z Eleventy:Benchmark Benchmark      0ms   0%     4× (Aggregate) > Compile Permalink > ./content/blog/2023/11ty-bundle-2.md
2026-02-10T04:36:47.153Z Eleventy:Benchmark Benchmark      0ms   0%     4× (Aggregate) > Render Permalink > ./content/blog/2023/11ty-bundle-2.md
2026-02-10T04:36:47.153Z Eleventy:Benchmark Benchmark      0ms   0%     2× (Aggregate) > Compile Computed Data > ./content/blog/2023/11ty-bundle-2.md
2026-02-10T04:36:47.153Z Eleventy:Benchmark Benchmark      0ms   0%     2× (Aggregate) > Render Computed Data > ./content/blog/2023/11ty-bundle-2.md
2026-02-10T04:36:47.153Z Eleventy:Benchmark Benchmark      0ms   0%     4× (Aggregate) > Compile Permalink > ./content/blog/2023/11ty-bundle-20.md
2026-02-10T04:36:47.153Z Eleventy:Benchmark Benchmark      0ms   0%     4× (Aggregate) > Render Permalink > ./content/blog/2023/11ty-bundle-20.md
2026-02-10T04:36:47.153Z Eleventy:Benchmark Benchmark      0ms   0%     2× (Aggregate) > Compile Computed Data > ./content/blog/2023/11ty-bundle-20.md
2026-02-10T04:36:47.153Z Eleventy:Benchmark Benchmark      0ms   0%     2× (Aggregate) > Render Computed Data > ./content/blog/2023/11ty-bundle-20.md
